order_form_no,order_date,buyer_name,buyer_location,s_no,style_number,size_18_qty,size_20_qty,size_22_qty,size_24_qty,size_26_qty,size_28_qty,size_30_qty,size_32_qty,size_34_qty,size_36_qty,size_38_qty,size_40_qty,size_42_qty,unit_price,line_item_total,total_qty_line_item
1018,2025-03-08,Bindas Guntur,Guntur,3,STYLE-113,28,44,21,47,27,46,4,5,50,16,3,9,10,1060.9,328879.0,310
1019,2025-02-08,Bindas Guntur,Guntur,1,STYLE-120,25,30,47,0,27,39,2,28,22,14,47,2,2,1166.46,332441.1,285
1019,2025-02-08,Bindas Guntur,Guntur,2,STYLE-143,19,6,39,49,0,2,48,21,43,17,2,22,2,1047.73,282887.1,270
1019,2025-02-08,Bindas Guntur,Guntur,3,STYLE-103,0,7,18,45,33,7,49,25,17,8,40,16,11,896.28,247373.28,276
1019,2025-02-08,Bindas Guntur,Guntur,4,STYLE-112,50,44,41,8,0,20,33,33,36,23,28,7,46,701.05,258687.45,369
1020,2025-05-14,Fashion Hub Delhi,Delhi,1,STYLE-138,15,43,30,2,36,8,35,31,38,21,13,33,32,564.19,190132.03,337
1020,2025-05-14,Fashion Hub Delhi,Delhi,2,STYLE-104,6,48,45,34,35,40,27,17,45,32,45,4,14,869.64,340898.88,392
1021,2025-01-26,Silk Route Kolkata,Kolkata,1,STYLE-101,45,48,48,2,19,32,46,29,47,27,28,15,16,771.32,310070.64,402
1021,2025-01-26,Silk Route Kolkata,Kolkata,2,STYLE-106,43,28,25,29,25,21,12,10,18,13,27,23,3,887.09,245723.93,277
1021,2025-01-26,Silk Route Kolkata,Kolkata,3,STYLE-116,47,8,8,1,48,14,18,48,20,9,50,48,38,1285.43,458898.51,357
1022,2025-02-09,Fashion Hub Delhi,Delhi,1,STYLE-137,23,47,36,11,22,28,3,16,22,5,16,38,44,633.71,197083.81,311
1023,2025-04-17,Silk Route Kolkata,Kolkata,1,STYLE-114,43,27,28,41,12,33,48,12,4,1,50,21,50,948.52,350952.4,370
1024,2025-03-10,Trendy Threads Mumbai,Mumbai,1,STYLE-105,44,2,41,12,22,26,13,19,35,29,8,50,14,1081.82,340773.3,315
1024,2025-03-10,Trendy Threads Mumbai,Mumbai,2,STYLE-134,41,11,18,23,18,30,11,20,47,48,14,36,30,641.28,222524.16,347
1024,2025-03-10,Trendy Threads Mumbai,Mumbai,3,STYLE-105,40,49,4,43,21,1,47,4,19,48,19,21,2,664.24,211228.32,318
1025,2025-05-01,Bindas Guntur,Guntur,1,STYLE-131,23,3,26,26,3,45,32,40,24,0,15,4,38,653.84,182421.36,279
1025,2025-05-01,Bindas Guntur,Guntur,2,STYLE-140,15,37,31,6,50,8,28,44,22,19,40,11,50,540.13,194986.93,361
1025,2025-05-01,Bindas Guntur,Guntur,3,STYLE-106,47,36,42,12,0,30,9,17,16,13,2,21,16,1161.14,303057.54,261
1025,2025-05-01,Bindas Guntur,Guntur,4,STYLE-127,9,17,1,17,13,41,40,38,35,19,23,11,40,1310.97,398534.88,304
1025,2025-05-01,Bindas Guntur,Guntur,5,STYLE-123,29,41,19,29,13,3,37,2,11,7,28,9,46,719.46,197132.04,274
1026,2025-06-06,Fashion Hub Delhi,Delhi,1,STYLE-135,25,24,11,19,10,47,3,44,37,2,38,18,17,1267.46,373900.7,295
1027,2025-02-04,Fashion Hub Delhi,Delhi,1,STYLE-116,19,22,46,32,21,13,48,40,13,0,36,2,37,546.01,179637.29,329
1027,2025-02-04,Fashion Hub Delhi,Delhi,2,STYLE-102,24,2,15,12,7,19,6,25,0,7,43,39,34,1151.76,268360.08,233
1027,2025-02-04,Fashion Hub Delhi,Delhi,3,STYLE-139,15,30,42,12,49,35,1,26,2,48,46,12,19,521.34,175691.58,337
1027,2025-02-04,Fashion Hub Delhi,Delhi,4,STYLE-129,41,12,25,20,20,13,5,18,22,9,22,7,6,571.32,125690.4,220
1028,2025-05-20,Bindas Guntur,Guntur,1,STYLE-109,16,36,46,50,45,47,30,6,18,3,3,39,4,870.02,298416.86,343
1028,2025-05-20,Bindas Guntur,Guntur,2,STYLE-121,18,36,9,16,46,48,16,12,44,15,24,43,19,857.21,296594.66,346
1029,2025-03-21,Bindas Guntur,Guntur,1,STYLE-148,35,4,13,21,14,22,47,24,22,2,20,41,0,1365.98,361984.7,265
1029,2025-03-21,Bindas Guntur,Guntur,2,STYLE-148,32,45,36,0,30,8,40,22,40,11,28,38,40,875.44,323912.8,370
1029,2025-03-21,Bindas Guntur,Guntur,3,STYLE-127,22,4,47,34,7,2,43,27,39,35,9,49,34,1488.51,523955.52,352
1030,2025-02-17,Elite Garments Chennai,Chennai,1,STYLE-133,48,2,6,45,14,17,34,15,45,32,4,27,48,906.2,305389.4,337
1030,2025-02-17,Elite Garments Chennai,Chennai,2,STYLE-103,5,10,11,0,10,13,36,30,7,9,5,21,13,1451.49,246753.3,170
1030,2025-02-17,Elite Garments Chennai,Chennai,3,STYLE-138,47,13,38,25,41,34,47,5,37,26,25,8,32,659.53,249302.34,378
1030,2025-02-17,Elite Garments Chennai,Chennai,4,STYLE-108,37,40,45,12,36,12,38,22,20,28,5,50,47,1263.86,495433.12,392
1030,2025-02-17,Elite Garments Chennai,Chennai,5,STYLE-108,24,17,42,33,4,5,2,30,50,6,0,34,37,1009.74,286766.16,284
1031,2025-02-25,Trendy Threads Mumbai,Mumbai,1,STYLE-122,12,7,29,28,7,22,32,31,47,42,39,40,44,1088.57,413656.6,380
1031,2025-02-25,Trendy Threads Mumbai,Mumbai,2,STYLE-144,34,34,35,30,2,24,43,38,43,24,2,9,8,646.48,210752.48,326
1031,2025-02-25,Trendy Threads Mumbai,Mumbai,3,STYLE-102,37,39,31,8,4,28,41,43,37,44,41,18,35,1018.7,413592.2,406
1031,2025-02-25,Trendy Threads Mumbai,Mumbai,4,STYLE-138,3,30,23,48,45,22,28,45,8,30,47,34,40,842.77,339636.31,403
1031,2025-02-25,Trendy Threads Mumbai,Mumbai,5,STYLE-126,7,45,35,30,0,29,20,24,35,23,3,21,35,1337.49,410609.43,307
1032,2025-04-01,Elite Garments Chennai,Chennai,1,STYLE-127,13,5,49,30,47,40,1,23,43,13,5,15,48,1027.31,341066.92,332
1032,2025-04-01,Elite Garments Chennai,Chennai,2,STYLE-126,33,47,22,11,0,17,49,2,0,15,1,47,26,1374.8,371196.0,270
1032,2025-04-01,Elite Garments Chennai,Chennai,3,STYLE-149,8,29,9,14,13,6,26,38,35,39,3,18,5,793.62,192849.66,243
1032,2025-04-01,Elite Garments Chennai,Chennai,4,STYLE-109,36,18,12,24,38,4,45,36,19,17,48,30,11,629.19,212666.22,338
1032,2025-04-01,Elite Garments Chennai,Chennai,5,STYLE-130,8,49,48,12,9,27,32,8,36,50,0,48,18,1167.05,402632.25,345
1033,2025-03-29,Trendy Threads Mumbai,Mumbai,1,STYLE-120,42,22,30,15,1,20,41,45,25,5,46,4,48,1093.02,375998.88,344
1033,2025-03-29,Trendy Threads Mumbai,Mumbai,2,STYLE-106,30,49,8,2,17,22,9,45,11,19,32,40,17,1025.85,308780.85,301
1033,2025-03-29,Trendy Threads Mumbai,Mumbai,3,STYLE-125,8,42,20,10,45,48,0,10,41,48,23,20,37,1074.79,378326.08,352
1034,2025-02-05,Bindas Guntur,Guntur,1,STYLE-143,36,38,29,21,22,30,48,36,41,22,2,15,2,1312.84,448991.28,342
1034,2025-02-05,Bindas Guntur,Guntur,2,STYLE-135,9,30,9,11,42,29,0,6,20,22,6,22,43,1181.01,294071.49,249
1034,2025-02-05,Bindas Guntur,Guntur,3,STYLE-102,31,26,35,0,31,33,28,3,13,16,25,2,16,714.08,184946.72,259
1035,2025-02-11,Fashion Hub Delhi,Delhi,1,STYLE-119,9,28,39,26,31,14,37,32,28,21,34,13,37,588.7,205456.3,349
1035,2025-02-11,Fashion Hub Delhi,Delhi,2,STYLE-116,14,41,25,27,34,48,37,21,47,18,16,36,8,544.14,202420.08,372
1036,2025-06-08,Fashion Hub Delhi,Delhi,1,STYLE-110,7,48,31,47,10,24,50,29,36,16,20,14,20,1297.36,456670.72,352
1036,2025-06-08,Fashion Hub Delhi,Delhi,2,STYLE-106,5,9,37,19,6,11,16,13,48,27,47,41,2,939.65,264041.65,281
1036,2025-06-08,Fashion Hub Delhi,Delhi,3,STYLE-146,0,44,36,11,24,27,21,32,8,28,37,44,29,1488.53,507588.73,341
1037,2025-04-26,Silk Route Kolkata,Kolkata,1,STYLE-137,13,14,33,43,30,35,10,12,5,34,27,47,47,1357.83,475240.5,350
1037,2025-04-26,Silk Route Kolkata,Kolkata,2,STYLE-125,30,17,4,34,4,23,33,29,30,43,46,14,3,1194.11,370174.1,310
1038,2025-06-10,Fashion Hub Delhi,Delhi,1,STYLE-103,0,7,49,7,10,26,39,30,41,22,47,5,32,1301.75,410051.25,315
1038,2025-06-10,Fashion Hub Delhi,Delhi,2,STYLE-130,20,47,35,14,34,3,13,13,50,31,37,13,45,544.51,193301.05,355
1038,2025-06-10,Fashion Hub Delhi,Delhi,3,STYLE-133,27,20,33,15,48,2,48,30,8,37,29,33,14,605.95,208446.8,344
1038,2025-06-10,Fashion Hub Delhi,Delhi,4,STYLE-142,47,30,48,38,10,26,7,27,29,15,38,6,16,1383.67,466296.79,337
1038,2025-06-10,Fashion Hub Delhi,Delhi,5,STYLE-114,16,20,11,42,30,2,33,25,0,42,17,26,24,806.71,232332.48,288
1039,2025-02-16,Fashion Hub Delhi,Delhi,1,STYLE-121,29,21,29,10,26,10,22,38,41,49,49,37,20,1165.65,444112.65,381
1039,2025-02-16,Fashion Hub Delhi,Delhi,2,STYLE-103,45,46,30,4,47,30,28,22,41,37,11,42,27,512.21,210006.1,410
1039,2025-02-16,Fashion Hub Delhi,Delhi,3,STYLE-135,9,23,43,7,48,22,1,25,29,13,46,28,27,1178.76,378381.96,321
1039,2025-02-16,Fashion Hub Delhi,Delhi,4,STYLE-122,28,46,25,41,49,40,31,45,50,12,20,8,4,871.75,347828.25,399
1039,2025-02-16,Fashion Hub Delhi,Delhi,5,STYLE-101,13,18,46,11,22,2,16,34,39,1,45,15,23,1320.78,376422.3,285
1040,2025-04-01,Bindas Guntur,Guntur,1,STYLE-117,30,44,50,11,7,36,9,0,39,34,44,42,11,750.27,267846.39,357
1040,2025-04-01,Bindas Guntur,Guntur,2,STYLE-142,14,28,35,10,17,19,43,48,50,36,36,26,11,1090.57,406782.61,373
1040,2025-04-01,Bindas Guntur,Guntur,3,STYLE-132,36,32,50,9,38,29,21,11,18,28,22,30,10,941.6,314494.4,334
1040,2025-04-01,Bindas Guntur,Guntur,4,STYLE-130,35,1,48,2,32,35,26,34,3,7,38,10,22,1363.32,399452.76,293
1041,2025-05-05,Silk Route Kolkata,Kolkata,1,STYLE-137,45,34,5,0,15,18,42,0,41,25,11,37,19,520.52,151991.84,292
1041,2025-05-05,Silk Route Kolkata,Kolkata,2,STYLE-146,9,9,17,9,1,39,37,38,9,24,5,43,3,987.12,239870.16,243
1041,2025-05-05,Silk Route Kolkata,Kolkata,3,STYLE-121,3,30,11,31,31,27,33,38,31,20,5,0,18,701.87,195119.86,278
1041,2025-05-05,Silk Route Kolkata,Kolkata,4,STYLE-141,24,1,5,6,7,7,32,4,35,38,50,25,25,533.28,138119.52,259
1042,2025-04-29,Silk Route Kolkata,Kolkata,1,STYLE-128,20,48,16,27,3,43,42,17,45,41,47,29,45,1260.98,533394.54,423
1042,2025-04-29,Silk Route Kolkata,Kolkata,2,STYLE-108,5,7,45,20,39,20,10,43,22,17,45,34,29,1104.54,371125.44,336
1042,2025-04-29,Silk Route Kolkata,Kolkata,3,STYLE-128,10,44,13,6,10,42,13,22,15,18,11,14,19,1017.98,241261.26,237
1042,2025-04-29,Silk Route Kolkata,Kolkata,4,STYLE-122,34,45,30,38,44,17,21,0,28,19,16,2,23,1305.96,413989.32,317
1043,2025-01-29,Silk Route Kolkata,Kolkata,1,STYLE-143,0,50,9,10,15,23,27,16,20,47,4,6,18,869.42,213007.9,245
1044,2025-04-06,Trendy Threads Mumbai,Mumbai,1,STYLE-132,23,37,32,1,48,33,47,23,36,19,39,11,2,1441.99,506138.49,351
1045,2025-01-17,Trendy Threads Mumbai,Mumbai,1,STYLE-140,31,32,27,42,6,34,42,34,17,5,36,10,18,1078.27,360142.18,334
1045,2025-01-17,Trendy Threads Mumbai,Mumbai,2,STYLE-109,28,30,39,50,37,50,35,19,19,21,3,27,28,1252.82,483588.52,386
1045,2025-01-17,Trendy Threads Mumbai,Mumbai,3,STYLE-146,16,17,40,45,16,38,48,13,24,26,25,8,46,539.5,195299.0,362
1046,2025-05-17,Fashion Hub Delhi,Delhi,1,STYLE-112,48,36,41,38,5,20,44,14,14,42,33,3,11,526.96,183909.04,349
1046,2025-05-17,Fashion Hub Delhi,Delhi,2,STYLE-116,5,12,32,49,4,13,16,8,16,14,2,15,7,1062.83,205126.19,193
1046,2025-05-17,Fashion Hub Delhi,Delhi,3,STYLE-142,16,14,20,2,28,15,16,4,23,8,24,6,23,1097.07,218316.93,199
1046,2025-05-17,Fashion Hub Delhi,Delhi,4,STYLE-122,41,39,47,6,9,36,12,5,29,31,49,0,15,902.9,288025.1,319
1046,2025-05-17,Fashion Hub Delhi,Delhi,5,STYLE-140,49,24,2,28,0,43,22,13,45,7,13,39,31,1374.58,434367.28,316
1047,2025-03-10,Silk Route Kolkata,Kolkata,1,STYLE-104,31,2,10,0,15,6,15,8,26,25,31,50,25,1455.27,355085.88,244
1047,2025-03-10,Silk Route Kolkata,Kolkata,2,STYLE-111,10,48,27,10,3,21,29,46,37,14,33,27,17,987.62,318013.64,322
1047,2025-03-10,Silk Route Kolkata,Kolkata,3,STYLE-103,29,1,31,23,40,29,28,46,32,24,27,30,30,740.47,273973.9,370
1047,2025-03-10,Silk Route Kolkata,Kolkata,4,STYLE-116,3,46,38,1,15,19,16,26,8,26,10,3,18,508.84,116524.36,229
1048,2025-05-22,Elite Garments Chennai,Chennai,1,STYLE-114,12,9,12,43,25,4,21,32,12,34,33,26,31,879.31,258517.14,294
1048,2025-05-22,Elite Garments Chennai,Chennai,2,STYLE-111,11,11,19,31,31,17,36,7,48,41,31,34,9,1153.44,376021.44,326
1048,2025-05-22,Elite Garments Chennai,Chennai,3,STYLE-115,5,41,25,5,12,27,14,25,48,3,28,37,21,1466.37,426713.67,291
1049,2025-02-12,Bindas Guntur,Guntur,1,STYLE-115,9,35,32,43,9,10,18,19,10,9,25,40,11,771.52,208310.4,270
1049,2025-02-12,Bindas Guntur,Guntur,2,STYLE-123,49,32,45,40,20,42,44,25,7,24,12,49,0,669.79,260548.31,389
1050,2025-02-02,Trendy Threads Mumbai,Mumbai,1,STYLE-112,29,48,8,2,3,36,32,22,8,35,39,31,13,779.93,238658.58,306
1050,2025-02-02,Trendy Threads Mumbai,Mumbai,2,STYLE-140,6,2,10,41,35,4,21,0,5,33,10,20,35,1230.67,273208.74,222
1051,2025-02-17,Fashion Hub Delhi,Delhi,1,STYLE-119,15,36,49,8,22,24,6,15,1,14,20,3,7,851.78,187391.6,220
1051,2025-02-17,Fashion Hub Delhi,Delhi,2,STYLE-109,29,19,43,23,8,35,22,49,5,20,42,36,24,1167.4,414427.0,355
1051,2025-02-17,Fashion Hub Delhi,Delhi,3,STYLE-100,3,27,10,35,44,44,12,17,21,36,33,12,33,969.97,317180.19,327
1051,2025-02-17,Fashion Hub Delhi,Delhi,4,STYLE-106,29,19,11,16,26,37,17,13,43,34,8,9,47,991.62,306410.58,309
1052,2025-02-12,Silk Route Kolkata,Kolkata,1,STYLE-101,11,16,25,36,28,36,19,28,6,33,12,33,8,1204.63,350547.33,291
1052,2025-02-12,Silk Route Kolkata,Kolkata,2,STYLE-134,43,11,40,14,6,47,23,16,7,50,20,49,5,1193.87,395170.97,331
1052,2025-02-12,Silk Route Kolkata,Kolkata,3,STYLE-128,33,15,14,10,38,12,28,22,7,23,8,31,18,788.08,204112.72,259
1052,2025-02-12,Silk Route Kolkata,Kolkata,4,STYLE-136,18,37,33,41,40,21,10,11,30,2,30,18,43,1448.25,483715.5,334
1053,2025-06-14,Silk Route Kolkata,Kolkata,1,STYLE-123,31,9,19,17,6,16,12,28,37,41,3,8,31,854.38,220430.04,258
1053,2025-06-14,Silk Route Kolkata,Kolkata,2,STYLE-127,12,26,13,42,22,16,30,28,32,32,34,21,0,604.34,186136.72,308
1053,2025-06-14,Silk Route Kolkata,Kolkata,3,STYLE-147,37,22,6,44,27,25,35,0,12,49,31,32,22,709.59,242679.78,342
1053,2025-06-14,Silk Route Kolkata,Kolkata,4,STYLE-115,14,19,17,42,22,22,29,49,48,37,9,33,44,514.27,197993.95,385
1053,2025-06-14,Silk Route Kolkata,Kolkata,5,STYLE-146,1,43,28,14,9,9,46,11,20,46,18,38,39,1170.63,376942.86,322
1054,2025-01-13,Trendy Threads Mumbai,Mumbai,1,STYLE-132,11,41,42,28,12,31,17,9,42,33,27,20,7,934.19,298940.8,320
1054,2025-01-13,Trendy Threads Mumbai,Mumbai,2,STYLE-147,19,2,26,49,41,45,25,49,34,24,49,41,4,1187.48,484491.84,408
1055,2025-02-01,Bindas Guntur,Guntur,1,STYLE-135,43,36,29,24,3,41,34,21,11,36,38,37,13,610.6,223479.6,366
1055,2025-02-01,Bindas Guntur,Guntur,2,STYLE-115,25,10,49,9,8,24,44,18,22,43,33,25,39,669.5,233655.5,349
1055,2025-02-01,Bindas Guntur,Guntur,3,STYLE-138,39,5,46,1,27,46,21,16,37,8,5,4,13,1267.16,339598.88,268
1055,2025-02-01,Bindas Guntur,Guntur,4,STYLE-116,11,37,37,8,27,29,37,17,18,49,37,47,1,1400.12,497042.6,355
1055,2025-02-01,Bindas Guntur,Guntur,5,STYLE-111,43,48,15,33,4,21,29,36,8,34,18,39,48,787.66,296160.16,376
1056,2025-02-01,Elite Garments Chennai,Chennai,1,STYLE-125,14,17,33,19,9,20,47,7,48,48,46,3,21,731.41,242828.12,332
1056,2025-02-01,Elite Garments Chennai,Chennai,2,STYLE-134,8,22,0,42,4,35,43,13,7,46,30,3,0,1308.81,331128.93,253
1057,2025-06-13,Trendy Threads Mumbai,Mumbai,1,STYLE-119,31,31,7,42,25,9,31,37,8,38,50,44,38,597.38,233575.58,391
1058,2024-12-27,Elite Garments Chennai,Chennai,1,STYLE-134,50,14,49,23,22,24,18,18,10,27,4,40,39,872.09,294766.42,338
1058,2024-12-27,Elite Garments Chennai,Chennai,2,STYLE-103,49,7,9,28,36,45,15,19,39,48,10,40,7,788.74,277636.48,352
1058,2024-12-27,Elite Garments Chennai,Chennai,3,STYLE-105,34,46,16,23,12,10,27,33,4,37,3,4,12,697.82,182131.02,261
1058,2024-12-27,Elite Garments Chennai,Chennai,4,STYLE-136,31,47,49,20,0,37,16,6,17,45,1,27,36,1437.28,477176.96,332
1058,2024-12-27,Elite Garments Chennai,Chennai,5,STYLE-110,50,27,1,21,34,12,29,41,29,14,33,47,1,1298.29,440120.31,339
